column,row,field,channel,rel_fp
C,7,1,4,MFGTMP_220411120001/MFGTMP_220411120001_C07f01d4.TIF
C,10,7,4,MFGTMP_220411120001/MFGTMP_220411120001_C10f07d4.TIF
C,4,8,2,MFGTMP_220411120001/MFGTMP_220411120001_C04f08d2.TIF
D,3,8,0,MFGTMP_220411120001/MFGTMP_220411120001_D03f08d0.TIF
G,3,4,3,MFGTMP_220411120001/MFGTMP_220411120001_G03f04d3.TIF
E,8,3,4,MFGTMP_220411120001/MFGTMP_220411120001_E08f03d4.TIF
D,2,8,0,MFGTMP_220411120001/MFGTMP_220411120001_D02f08d0.TIF
G,2,4,3,MFGTMP_220411120001/MFGTMP_220411120001_G02f04d3.TIF
E,9,3,4,MFGTMP_220411120001/MFGTMP_220411120001_E09f03d4.TIF
F,11,5,3,MFGTMP_220411120001/MFGTMP_220411120001_F11f05d3.TIF
F,6,3,3,MFGTMP_220411120001/MFGTMP_220411120001_F06f03d3.TIF
F,10,5,3,MFGTMP_220411120001/MFGTMP_220411120001_F10f05d3.TIF
F,7,3,3,MFGTMP_220411120001/MFGTMP_220411120001_F07f03d3.TIF
B,3,6,4,MFGTMP_220411120001/MFGTMP_220411120001_B03f06d4.TIF
G,8,4,0,MFGTMP_220411120001/MFGTMP_220411120001_G08f04d0.TIF
D,8,8,3,MFGTMP_220411120001/MFGTMP_220411120001_D08f08d3.TIF
G,9,4,0,MFGTMP_220411120001/MFGTMP_220411120001_G09f04d0.TIF
B,2,6,4,MFGTMP_220411120001/MFGTMP_220411120001_B02f06d4.TIF
D,9,8,3,MFGTMP_220411120001/MFGTMP_220411120001_D09f08d3.TIF
G,10,8,2,MFGTMP_220411120001/MFGTMP_220411120001_G10f08d2.TIF
G,4,7,4,MFGTMP_220411120001/MFGTMP_220411120001_G04f07d4.TIF
C,7,7,2,MFGTMP_220411120001/MFGTMP_220411120001_C07f07d2.TIF
D,7,2,1,MFGTMP_220411120001/MFGTMP_220411120001_D07f02d1.TIF
D,10,4,1,MFGTMP_220411120001/MFGTMP_220411120001_D10f04d1.TIF
C,10,1,2,MFGTMP_220411120001/MFGTMP_220411120001_C10f01d2.TIF
G,5,7,4,MFGTMP_220411120001/MFGTMP_220411120001_G05f07d4.TIF
G,11,8,2,MFGTMP_220411120001/MFGTMP_220411120001_G11f08d2.TIF
D,6,2,1,MFGTMP_220411120001/MFGTMP_220411120001_D06f02d1.TIF
C,6,7,2,MFGTMP_220411120001/MFGTMP_220411120001_C06f07d2.TIF
C,11,1,2,MFGTMP_220411120001/MFGTMP_220411120001_C11f01d2.TIF
D,11,4,1,MFGTMP_220411120001/MFGTMP_220411120001_D11f04d1.TIF
E,9,5,2,MFGTMP_220411120001/MFGTMP_220411120001_E09f05d2.TIF
B,9,0,1,MFGTMP_220411120001/MFGTMP_220411120001_B09f00d1.TIF
B,8,0,1,MFGTMP_220411120001/MFGTMP_220411120001_B08f00d1.TIF
E,8,5,2,MFGTMP_220411120001/MFGTMP_220411120001_E08f05d2.TIF
E,5,4,4,MFGTMP_220411120001/MFGTMP_220411120001_E05f04d4.TIF
B,6,8,1,MFGTMP_220411120001/MFGTMP_220411120001_B06f08d1.TIF
F,6,1,1,MFGTMP_220411120001/MFGTMP_220411120001_F06f01d1.TIF
F,11,7,1,MFGTMP_220411120001/MFGTMP_220411120001_F11f07d1.TIF
B,7,8,1,MFGTMP_220411120001/MFGTMP_220411120001_B07f08d1.TIF
E,4,4,4,MFGTMP_220411120001/MFGTMP_220411120001_E04f04d4.TIF
F,7,1,1,MFGTMP_220411120001/MFGTMP_220411120001_F07f01d1.TIF
F,10,7,1,MFGTMP_220411120001/MFGTMP_220411120001_F10f07d1.TIF
G,8,6,2,MFGTMP_220411120001/MFGTMP_220411120001_G08f06d2.TIF
G,9,6,2,MFGTMP_220411120001/MFGTMP_220411120001_G09f06d2.TIF
C,10,3,0,MFGTMP_220411120001/MFGTMP_220411120001_C10f03d0.TIF
D,10,6,3,MFGTMP_220411120001/MFGTMP_220411120001_D10f06d3.TIF
D,7,0,3,MFGTMP_220411120001/MFGTMP_220411120001_D07f00d3.TIF
C,7,5,0,MFGTMP_220411120001/MFGTMP_220411120001_C07f05d0.TIF
